Date	Time	Barcode	Cycle	Info	
9/15/2017	04:52:33.502	CB1C1ANXX	63	Start chemistry	
9/15/2017	04:56:52.019	CB1C1ANXX	63	End chemistry	
9/15/2017	05:09:17.335	CB1C1ANXX	63	Start Imaging	
9/15/2017	05:26:05.816	CB1C1ANXX	63	End Imaging	
9/15/2017	05:26:10.345	CB1C1ANXX	64	Start chemistry	
9/15/2017	05:30:27.398	CB1C1ANXX	64	End chemistry	
9/15/2017	05:43:45.643	CB1C1ANXX	64	Start Imaging	
9/15/2017	06:03:42.587	CB1C1ANXX	64	End Imaging	
9/15/2017	06:03:46.216	CB1C1ANXX	65	Start chemistry	
9/15/2017	06:08:04.597	CB1C1ANXX	65	End chemistry	
9/15/2017	06:21:16.799	CB1C1ANXX	65	Start Imaging	
9/15/2017	06:37:07.700	CB1C1ANXX	65	End Imaging	
9/15/2017	06:37:11.376	CB1C1ANXX	66	Start chemistry	
9/15/2017	06:41:28.659	CB1C1ANXX	66	End chemistry	
9/15/2017	06:54:40.666	CB1C1ANXX	66	Start Imaging	
9/15/2017	07:11:44.410	CB1C1ANXX	66	End Imaging	
9/15/2017	07:11:47.664	CB1C1ANXX	67	Start chemistry	
9/15/2017	07:16:03.916	CB1C1ANXX	67	End chemistry	
9/15/2017	07:29:11.654	CB1C1ANXX	67	Start Imaging	
9/15/2017	07:48:47.539	CB1C1ANXX	67	End Imaging	
9/15/2017	07:48:51.001	CB1C1ANXX	68	Start chemistry	
9/15/2017	07:53:09.594	CB1C1ANXX	68	End chemistry	
9/15/2017	08:05:39.915	CB1C1ANXX	68	Start Imaging	
9/15/2017	08:21:13.810	CB1C1ANXX	68	End Imaging	
9/15/2017	08:21:17.157	CB1C1ANXX	69	Start chemistry	
9/15/2017	08:25:33.874	CB1C1ANXX	69	End chemistry	
9/15/2017	08:39:27.051	CB1C1ANXX	69	Start Imaging	
9/15/2017	08:55:31.120	CB1C1ANXX	69	End Imaging	
9/15/2017	08:55:34.795	CB1C1ANXX	70	Start chemistry	
9/15/2017	08:59:52.282	CB1C1ANXX	70	End chemistry	
9/15/2017	09:12:38.283	CB1C1ANXX	70	Start Imaging	
9/15/2017	09:29:04.389	CB1C1ANXX	70	End Imaging	
9/15/2017	09:29:08.128	CB1C1ANXX	71	Start chemistry	
9/15/2017	09:33:26.769	CB1C1ANXX	71	End chemistry	
9/15/2017	09:46:29.469	CB1C1ANXX	71	Start Imaging	
9/15/2017	10:03:29.234	CB1C1ANXX	71	End Imaging	
9/15/2017	10:03:32.282	CB1C1ANXX	72	Start chemistry	
9/15/2017	10:07:51.648	CB1C1ANXX	72	End chemistry	
9/15/2017	10:21:41.019	CB1C1ANXX	72	Start Imaging	
9/15/2017	10:37:49.806	CB1C1ANXX	72	End Imaging	
9/15/2017	10:37:53.740	CB1C1ANXX	73	Start chemistry	
9/15/2017	10:42:12.482	CB1C1ANXX	73	End chemistry	
9/15/2017	10:56:12.777	CB1C1ANXX	73	Start Imaging	
9/15/2017	11:12:22.245	CB1C1ANXX	73	End Imaging	
9/15/2017	11:12:25.626	CB1C1ANXX	74	Start chemistry	
9/15/2017	11:16:43.259	CB1C1ANXX	74	End chemistry	
9/15/2017	11:29:28.487	CB1C1ANXX	74	Start Imaging	
9/15/2017	11:45:36.555	CB1C1ANXX	74	End Imaging	
9/15/2017	11:45:40.397	CB1C1ANXX	75	Start chemistry	
9/15/2017	11:49:59.353	CB1C1ANXX	75	End chemistry	
9/15/2017	12:03:28.061	CB1C1ANXX	75	Start Imaging	
